,variant_id,allocation_date,users,customers,min_date,day
0,0,2019-02-06,7056,802,2019-02-06,0
1,1,2019-02-06,7070,792,2019-02-06,0
2,0,2019-02-07,1029,206,2019-02-06,1
3,1,2019-02-07,1015,206,2019-02-06,1
4,0,2019-02-08,249,57,2019-02-06,2
5,1,2019-02-08,243,52,2019-02-06,2
6,0,2019-02-09,153,38,2019-02-06,3
7,1,2019-02-09,154,35,2019-02-06,3
8,0,2019-02-10,109,30,2019-02-06,4
9,1,2019-02-10,110,19,2019-02-06,4
10,0,2019-02-11,48,5,2019-02-06,5
11,1,2019-02-11,73,17,2019-02-06,5
12,0,2019-02-12,41,4,2019-02-06,6
13,1,2019-02-12,28,4,2019-02-06,6
14,0,2019-02-13,20,1,2019-02-06,7
15,1,2019-02-13,20,2,2019-02-06,7
16,0,2019-02-14,9,1,2019-02-06,8
17,1,2019-02-14,11,4,2019-02-06,8
18,0,2019-02-15,5,1,2019-02-06,9
19,1,2019-02-15,12,1,2019-02-06,9
20,0,2019-02-16,11,3,2019-02-06,10
21,1,2019-02-16,6,1,2019-02-06,10
22,0,2019-02-17,7,0,2019-02-06,11
23,1,2019-02-17,4,0,2019-02-06,11
24,0,2019-02-18,7,1,2019-02-06,12
25,1,2019-02-18,6,1,2019-02-06,12
26,0,2019-02-19,14,2,2019-02-06,13
27,1,2019-02-19,4,0,2019-02-06,13
28,0,2019-02-20,8,0,2019-02-06,14
29,1,2019-02-20,4,0,2019-02-06,14
30,0,2019-02-21,5,2,2019-02-06,15
31,1,2019-02-21,2,0,2019-02-06,15
32,1,2019-02-22,3,0,2019-02-06,16
33,1,2019-02-23,5,0,2019-02-06,17
34,0,2019-02-24,1,0,2019-02-06,18
35,0,2019-02-25,3,1,2019-02-06,19
36,1,2019-02-25,4,1,2019-02-06,19
